st_dbscan_cluster_id,cluster_label,geometry_source,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality
176,POLICE_STATION::Yeshwanthpura,osmnx,trunk,3,10.5,215.70894899326876,4,0.02279644707435104
708,BTP130 - GD Mara Junction,osmnx,trunk,3,10.5,127.80253117282206,3,0.027823094002135895
344,"BTP016 - 5th Main Road, RPC Layout",osmnx,secondary,2,7.0,108.65323725774309,6,0.0005639622823206019
756,POLICE_STATION::HAL Old Airport,osmnx,tertiary,2,7.0,152.90751859770253,4,0.005487432819034932
112,POLICE_STATION::K.R. Pura,osmnx,trunk,2,7.0,370.68663568233933,4,0.0029642776684700024
398,POLICE_STATION::Thalagattapura,osmnx,tertiary,2,7.0,199.03242134204714,4,0.00019019727736331645
562,BTP068 - Veeresh Theatre Junction,osmnx,secondary,2,7.0,70.91095864596276,6,0.0003745695619681286
126,POLICE_STATION::HAL Old Airport,osmnx,tertiary,2,7.0,480.75205120591266,4,0.004174846329265012
689,POLICE_STATION::Mahadevapura,osmnx,primary,2,7.0,373.5842373313795,3,7.446979692364031e-05
620,POLICE_STATION::Sadashivanagar,osmnx,tertiary,2,7.0,166.88741924818257,6,0.008870434138228134
101,POLICE_STATION::Yeshwanthpura,osmnx,trunk,3,10.5,215.70894899326876,4,0.02279644707435104
51,POLICE_STATION::Kodigehalli,osmnx,residential,2,7.0,76.30325596414883,8,0.008938660572747632
160,POLICE_STATION::Mahadevapura,osmnx,primary,3,10.5,17.6595112177989,4,0.021792713929903583
327,POLICE_STATION::HAL Old Airport,osmnx,tertiary,2,7.0,401.6178028193282,4,0.007500144819640545
647,BTP068 - Veeresh Theatre Junction,osmnx,primary,2,7.0,139.67143148213535,4,0.00019145238630023173
792,"BTP226 - 33rd Cross, 11th Main, Jayanagar",osmnx,secondary,2,7.0,61.384276462862026,4,0.004360570269648041
439,POLICE_STATION::K.S. Layout,osmnx,secondary,2,7.0,34.85084296566095,6,0.014072023942450718
746,POLICE_STATION::Basavanagudi,osmnx,tertiary,4,14.0,284.66212699742334,2,0.0
282,BTP096 - Gali Anjaneya Temple,osmnx,trunk,2,7.0,142.8477814529788,4,0.037198629031771346
606,POLICE_STATION::Mahadevapura,osmnx,primary,3,10.5,49.26887908718787,4,0.022271167893111777
